epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,14143,2.64847,1.64383,1.21077,0.44473,0.47659,0.37661,0.10272,2.64611,1.6141,1.29444,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139
41,14485.8,2.62376,1.53244,1.19541,0.472,0.50398,0.40623,0.11323,2.68362,1.60792,1.34013,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
42,14827.4,2.61844,1.53172,1.20102,0.43598,0.47318,0.35706,0.09756,2.64138,1.63152,1.27937,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941
43,15163.1,2.57621,1.47949,1.18646,0.44838,0.49887,0.37825,0.10502,2.68458,1.58979,1.30927,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
44,15500.4,2.58946,1.49872,1.19274,0.41983,0.46701,0.33,0.08896,2.64718,1.66262,1.29025,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743
45,15869,2.5788,1.4661,1.18448,0.48633,0.49543,0.41037,0.11292,2.63,1.58043,1.28761,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
46,16221.1,2.57684,1.4679,1.18486,0.4602,0.48678,0.37668,0.10376,2.6243,1.57176,1.29516,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
47,16558.3,2.57773,1.45762,1.17833,0.41263,0.45467,0.32018,0.08536,2.69055,1.64965,1.29651,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
48,16892.9,2.5526,1.43925,1.18168,0.499,0.49998,0.40734,0.11026,2.69774,1.59018,1.31695,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347
49,17231,2.57487,1.45958,1.17506,0.43965,0.48324,0.36517,0.09749,2.67323,1.60822,1.30238,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,17565.3,2.5434,1.43803,1.17547,0.50881,0.50742,0.4245,0.11644,2.67169,1.60239,1.31276,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,17902.3,2.5469,1.4065,1.17626,0.45074,0.47954,0.35325,0.09552,2.69577,1.59238,1.30933,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
52,18240.1,2.55265,1.41081,1.18183,0.49092,0.48827,0.39731,0.10837,2.66879,1.59833,1.31233,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951,0.0044853,0.0014951
53,18577.8,2.53723,1.40477,1.16366,0.47932,0.48439,0.37461,0.10079,2.69521,1.61796,1.30979,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
